headline,story_in_detail
Air Force not planning to show 'them aliens’ to viral Area 51 raiders,"In the days since it was ,, the event “Storm Area 51, They Can’t Stop All of Us"" has racked up over a million joke (and probably a few not-really) RSVPs.,“We will all meet up at the Area 51 Alien Center tourist attraction and coordinate our entry,” the evite reads. “If we naruto run, we can move faster than their bullets. Lets see them aliens.”,The ,, but the organizers have clarified that it’s a joke, most likely in hopes that the government doesn’t use secret alien technology from the conspiracy-laden Air Force base against them.,A pinned tweet on the page reads, “Hello US government, this is a joke, and I do not actually intend to go ahead with this plan. I just thought it would be funny and get me some thumbsy uppies on the internet.”,The Air Force isn’t taking any chances, issuing a stern (but enticingly vague) warning that people should stay away from the base.,“[Area 51] is an open training range for the U.S. Air Force, and we would discourage anyone from trying to come into the area where we train American armed forces,” ,. “The U.S. Air Force always stands ready to protect America and its assets.”,Head over to the event’s Facebook page to check out the memes other users have created and speculate about that Air Force spokesperson means by “assets.”"
"Oddsmakers banking on ‘Veep,’ ‘Mrs. Maisel,’ ‘Game of Thrones’ and ‘Killing Eve’ to dominate Emmy nominations","Tuesday’s announcement for the nominees of the 71st Emmy Awards should be the most compelling yet. Despite critical ambivalence to the final season of “Game of Thrones,” will the venerable three-time Best Drama series even get the opportunity to defend its title?,Will 2018′s winner “The Marvelous Mrs. Maisel” hold off three-time Best Comedy champ “Veep,” which has finished its series run? ""Is audience favorite “Killing Eve” still a dark horse contender, or were Emmy voters put off by a perceived Season 2 slump?,The Gold Derby Awards’ latest odds reveal plenty of surprises. Utilizing a system of active TV participants, the website has assessed the odds for most Emmy contenders. Let’s break down their chances and pick out some overvalued or undervalued contenders.,One of the most tightly contested races is for ,. Last year’s title holder Claire Foy is out of the running as her reign as Queen Elizabeth on “The Crown"" has come to an end. That leaves a top-heavy race that includes front-runners Laura Linney (”Ozark""), Julia Roberts (“Homecoming”), Emilia Clarke (“Game of Thrones”), Robin Wright (“House of Cards”) and “Killing Eve” stars Sandra Oh and Jodie Comer.,In its latest odds, Gold Derby has installed Oh as front-runner at 71/20 — meaning a successful $20 bet would net a $71 profit. While Oh was the show’s breakout star in Season 1, Comer seems the more likely bet this go-round as the quirky, Russian psychopath killer Villanelle. In a majority of the eight Season 2 episodes, Oh took a backseat to the action as Villanelle’s backstory — not to mention her unrequited feelings for Eve — were pivotal plot points.,Wright, a five-time Emmy nominee in this category was brilliant yet again as steely President Claire Underwood, but “House of Cards” aired its last season way back in November 2018. Linney (5/1), a former Emmy winner for “The Big C,” and Roberts (11/2) in an understated role are shoo-ins. Viola Davis, the 2015 recipient of this award, might benefit from the nostalgia vote as “How to Get Away with Murder” is currently filming its sixth and final season.,Will Clarke, as power-hungry Daenerys be rewarded for her “Thrones” performance? What about Christine Baranski from “The Good Fight,” who’s currently fielding 11/1 odds to win? They likely sneak into the race but the road to victory will be much more arduous.,Expect to see a healthy mix of new and familiar faces in the race for ,. Oddsmakers have installed Bob Odenkirk of “Better Call Saul” as the front-runner at 4/1 but the better money should be on Jason Bateman from “Ozark” at 9/2 to win.,While both will assuredly hear their names mentioned Tuesday, it gets a little trickier after that. Kit Harington aka Jon Snow of “Game of Thrones” has received one previous Emmy nomination but that had been in the supporting category. Clearly, he was the most important character during this final season but will voters hold the show’s tepid praise against him? It’s a possibility, which makes his 10/1 victory odds to win a bit steep.,Sterling K. Brown, who won the award two years ago, should be back in contention for “This Is Us” despite viewership being down about 20% this past season. His 6/1 odds seem a bit low and he could be the man to beat come September.,That leaves new kids on the block, Richard Madden (“Bodyguard"") and Billy Porter (“Pose”), stars of series with small but rabid followings. Madden surprisingly snagged a Golden Globe for “Bodyguard” back in January, while the second-season premiere for “Pose” debuted less than six weeks ago. At 5/1, Madden’s odds seem overly favorable as does Porter at 15/2. Could there be a surprise who sneaks into contention? Perhaps “Succession’s” Brian Cox (25/1 to win) or 2019 Screen Actors Guild nominee John Krasinski for “Jack Ryan?"",The , competition looks like a three-horse race between “Game of Thrones,” “Killing Eve” and “Ozark.” All will officially be in the running on Tuesday as could be “Pose,” “Homecoming” and “Bodyguard.”,But with a field likely to field seven contenders, could HBO’s “Gentleman Jack” pull off the upset — a 100/1 long shot to win — or maybe “Doctor Who?”,Don’t sleep on Netflix’s beautifully bizarre supernatural series “The OA.” The nearly three-year wait for Season 2 was a small prize to pay for a gloriously trippy adventure that provided more questions than answers. The show could fill the gap that “Stranger Things” would likely have occupied had it been eligible.,While the Drama categories races should be chock-full of intrigue, the main Comedy divisions will likely offer less intrigue. As many as seven men could vie for ,with Bill Hader (“Barry”), Michael Douglas (“The Kominsky Method”), Ted Danson (“The Good Place”), Anthony Anderson (“Black-ish”) and Jim Carrey (“Kidding”) expected to secure nods. Don Cheadle is getting 15/2 to win for “Black Monday” but a nomination is no guarantee. Ditto, four-time winner Jim Parsons for “The Big Bang Theory,” which recently completed its 12-season run.,Carrey, at 13/1 to win, was surprisingly overlooked in 2018 as William H. Macy for “Shameless” and “Curb Your Enthusiasm’s” Larry David made the cut. While “Kidding” has met with generally positive reviews, Carrey’s performance has been universally lauded. There’s good value here for him to be toting Emmy home on Sept. 22.,Last year’s winner, Hader, leads all comers at 7/2, but Douglas is right behind him at 4/1. Danson could be the sentimental favorite at 5/1. The 71-year-old star snagged two Emmy Awards during his “Cheers” stint but none since 1993.,And what about Sacha Baron Cohen for “Who is America?” Duping the likes of Roy Moore and Dick Cheney may have been riotous but perhaps a bridge too far for some right-leaning Emmy voters? His odds of taking home the award have dipped to 100/1.,If you want to guess who is most likely to win the ,, flip a coin. You will have to wait two months for the race between “Veep’s” Julia Louis-Dreyfus and Rachel Brosnahan of “The Marvelous Mrs. Maisel” to play out. The rest of the would-be field is merely fodder. Allison Janney from “Mom” remains a healthy odds nominee at 7/1 as does Natasha Lyonne from “Russian Doll” and Phoebe Waller-Bridge of “Fleabag” fame — both installed at 15/2.,Has the luster finally faded from “Grace & Frankie” gals Jane Fonda and Lily Tomlin? Both legends continue to perform at an elite comedic level, but too many voters view the show as being too lightweight. That likely dooms any chance at nominations, let alone a win. Pamela Adlon, the star of “Better Things,” seems to be a polarizing figure among voters — some of which are put off by her character’s brusqueness. She’s at 19/2 to win.,And could Christina Applegate, a two-time nominee in this category last decade for “Samantha Who?” horn her way in for “Dead to Me?” She’s a 54/1 long shot to win.,Finally, the race for the , could be a mishmash of old and new, cable and streaming. “The Good Place” is the only realistic network TV contender. Odds are at 9/1 to win and will likely grab a nomination. “Veep"" at 5/1, “Mrs. Maisel” at 11/2, “Barry” (6/1) and “the Kominsky Method” at 15/2 all appear to be locks, as does the critical darling “Fleabag,” which has gotten a major boost since one of its stars, Olivia Colman, won the Oscar for “The Queen” in February.,And can the Little Engine That Could better known as “Schitt’s Creek"" — which gets funnier with each passing season — finally crash the Emmy party? Oddsmakers are dubious, placing it at 92/1 to win in September."
Tekashi69’s former manager pleads guilty in restaurant shooting case,"Brooklyn rapper Tekashi 69’s former manager took a time-served plea deal on Monday to settle criminal charges for his role in a Midtown restaurant brawl in which a shot was fired.,Kifano Jordan, 36, was in Manhattan Supreme Court to face assault and weapons counts stemming from the Oct. 26 shooting inside Philippe’s on E. 60th St. between Madison and Park Aves., where a brawl broke out among members of Tekashi’s entourage and a shot was fired by one of the performer’s security guards, a retired cop. ,Jordan, aka Shotti, was accused of being the main instigator. ,“(Jordan) struck a private security guard in the head with a chair after being refused entry into a restaurant where a business meeting was to occur,” prosecutor Gilbert Rein said at his arraignment. He also ordered another man “to advance upon and strike the private security guards.”,On Monday, Jordan pleaded guilty to second-degree assault in exchange for a sentence of time served because he’s facing “substantial” time in a separate federal case, according to prosecutors. ,After his bust in the state case, he was arrested by the feds along with Tekashi 69, the gang-affiliated rapper whose real name is Daniel Hernandez.,Jordan and Hernandez had a falling out around they time they and nine other alleged gangbangers were busted by the FBI for robberies, shootings and other crimes. ,Jordan copped to firearm possession in furtherance of a crime and discharging a firearm in furtherance of a crime. He admitted to a gunpoint robbery on W. 40th St. in the lobby of a building on April 3. Federal prosecutors said Hernandez was filming the robbery from an SUV outside.,Jordan faces up to 15 years in prison in the federal case, prosecutors said. His attorney could not be reached for comment."
2019 Sports Illustrated Swimsuit Runway Show in Miami,
"SEE IT: Woman in Brazil shoves well-known priest off stage in front of 50,000 people","A woman ran onstage and violently shoved a famous priest during a Mass Sunday in Cachoeira Paulista, a city located 130 miles southwest of São Paulo, Brazil.,In the shocking video, an unnamed 32-year-old woman is seen running toward Padre Marcelo Rossi, a wildly popular preacher in the country, and then shoving him off the stage.,The shocked audience of 50,000 can be seen screaming in incredulity.,The incident happened shortly before 3 p.m. on Sunday during the closing Mass of a traditional youth retreat. Around 50,000 young Catholics were in attendance, the Brazilian news site,According to the police, the woman was one of the participants in the retreat. She was accompanied by a group who had traveled from Rio de Janeiro to attend. They reportedly told the police that she suffers from mental health problems.,The newspaper O Dia reported that the woman, who was at the event with her 3-year-old son, told reporters Monday that what happened was “between [Rossi] and I.”,The priest, who decided not to press charges, wasn’t seriously hurt.,The church released a video after the incident saying that he felt some pain, but hadn’t broken anything: “The priest is well. He was attended by the medical staff at the event and presided over the celebration to the end.”,Dubbed Brazil’s , by the Associated Press, and Brazil’s , by Newsweek, Rossi has been a phenomenon in popular culture in Brazil since the late 1990s.,A former physical education teacher, he was ordained as a priest in 1994. His charismatic approach to minister Catholics in Brazil struck a chord with the religious population in the country, and he eventually became a mainstream celebrity.,He’s a best-selling author and singer, whose events routinely sell out stadiums.,Rossi is also a vocal anti-gay crusader, who in 1998 , that “a lot of ideas will change the day homosexuality is proven to be an illness,"" and in 2012 , that same-sex marriage “doesn’t come from God.”"
"Former Met Travis d’Arnaud punishes Yankees pitchers with three home runs, including the game winner","The Yankees may be more upset at the Mets for releasing Travis d’Arnaud than Mets fans these days. The former Mets catcher, who has had a resurgence with the Rays, delivered the game-winning dagger against the Bombers for the second time in three games. ,Monday night, d’Arnaud hammered three home runs, his third the game-winner with two outs in the bottom of the ninth, off Yankees’ All-Star closer Aroldis Chapman. D’Arnaud’s third, a three-run shot to right field, rallied the Rays for a big 5-4 win over the Bombers at Yankee Stadium. ,“I’m really excited,” d’Arnaud said. “We’ve beat them in three in a row now and before that, they were beating us quite a few times in a row. So it’s nice to win game one here and have the momentum going into tomorrow.”,D’Arnaud, who finished 3-for-3 with five RBI, battled Chapman in an eight-pitch at-bat, taking two strikes against him, before hitting his third homer of the night, and fourth against the Yankees in 11 games.,“All night, the slider had been working for me. I was trying to surprise him with the slider, down and away,” Chapman said. “That one was a little higher than I wanted, and he took advantage of it.”,D’Arnaud’s fly ball flew beyond the long reach of Yankees’ 6-foot-8 right fielder Aaron Judge and into the right-field stands. ,The Rays (56-40) cut into the lead the Yankees (59-33) hold in the American League East, in the rivals’ last series until the final week of the regular season in September. The Rays have won three straight against the Yankees, whose lead in the division was cut to five games. ,D’Arnaud’s walk off homer against the Yankees on July 6 at Tropicana Field was the start of the Rays’ three-game winning streak over the Yankees. ,It was fourth blown save for Chapman this season and the second loss he has taken. It was just the 10th home run that Chapman has allowed with runners on base and the fourth three-run homer he’s allowed in his career.,“Thought he threw the ball alright. I mean, a great at-bat by d’Arnaud there to finish it off,” Yankees manager Aaron Boone said. ""(Kevin) Kiermaier battled on the squibbed one to get things started, and then (Guillermo) Heredia jumped on a ball, I thought he threw the ball fine. d’Arnaud did a good job of laying off tough pitches when Chappy was ahead in the count and finally got a mistake and finished off what was a pretty great night obviously.”,The Mets, who tendered d’Arnaud a $3.52 million contract in December after he missed most of the 2018 season because of Tommy John surgery, released the catcher after just 25 at-bats and are now responsible for the remaining $2.9 million on his contract. He was signed by the Dodgers and then traded to the Rays, where he has emerged as a thorn in the Yankees’ side. ,Monday night, he jumped on James Paxton early, hitting his first career lead-off home run. He then got Paxton again in the third with another solo homer. ,“D’Arnaud was really hot, swinging the bat really well. I left some balls in the middle, but even his other at-bats he was taking some really good pitches, especially that last at-bat against Chappy,” Paxton said. “He was taking some sliders in the dirt, just really good takes and then good swings on the ball.”,Those were the only runs Paxton gave up Monday in six innings work. He struck out seven and scattered five other hits. ,D’Arnaud became the first catcher to ever hit three home runs against the Yankees in one game, and the first catcher in Rays history to hit three homers in a game. ,The 30-year-old bested a two-home run night by Edwin Encarnacion and spoiled the narrative of Gio Urshela’s second-half resurgence, with a game-tying home run on Monday night. ,“All of his at-bats were really good. I mean, kind of what we’ve seen from him, he hurt us obviously down in Tampa as well,” Boone said. “I just thought he had obviously really good at-bats, you know, got a couple fastballs that looked like in the heart of the plate that he took advantage of against Paxton. His next at-bat, I think it was against (Chad Green) where, I think he had a walk. All night long, laying off tough pitches, spoiling pitches. Really good at-bats, and obviously he was the difference.”"
"A missile, guns and Nazi paraphernalia were confiscated by Italian police after arrest ","Italian police confiscated an arsenal including an air-to-air missile during an arrest of three men, one of whom was a former neo-fascist political candidate.,Cops in Turin found dozens of hunting rifles, assault weapons and pistols in the home of former Forza Nuova party candidate Fabio Del Bergiolo, according to ,. Nazi paraphernalia was also collected from the 50-year-old right-winger’s home, the report said. Del Bergiolo once worked as a customs agent., Torino ha concluso un’operazione nei confronti di 3 persone responsabili di detenzione di armi da guerra e da sparo.,Dalle indagini si è scoperta anche una trattativa per la compravendita di un missile aria – aria sequestrato in provincia di Pavia ,Police also picked up Alessandro Monti, 42, and Fabio Bernardi, 51, in connection with the French-made missile they discovered in an airport hangar. They believe the men were hoping to sell the weapon. Authorities posted a photo of their menacing haul on Twitter along with the claim they’d “revealed a negotiation” involving the deadly projectile.,The investigation leading to the three arrests was reportedly connected to a crackdown of far-right extremists with ties to Russia’s aggression toward Ukraine."
Here are the Republican lawmakers who have condemned Trump’s racist ‘go back’ tweets ,"A number of congressional Republicans broke ranks Monday and condemned President Trump over a series of racist tweets he had posted a day earlier.,While the two top Republicans in Congress — Senate Majority Leader Mitch McConnell and House Minority Leader Kevin McCarthy — stayed mum, at least 18 of their GOP colleagues felt the need to speak out after Trump told four Democratic congresswomen to “go back” to the “totally broken and crime infested” countries “from which they came.”,Only one of the congresswomen, Minnesota Rep. Ilhan Omar, is foreign-born. All four are U.S. citizens and women of color.,The Long Island Republican called Trump’s tweets “inappropriate and wrong.”,“I don’t think he’s a racist, but I think the comments can be interpreted in a very negative way. They could inflame racist tendencies that people may have,” King told the Daily News. “You have to be careful with what you say.”,While I strongly disagree with the tactics, policies, and rhetoric of the far-left socialist ‘Squad,’ the President’s tweets were inappropriate, denigrating, and wrong. It is unacceptable to to tell legal U.S. citizens to go back to their home country,” Stefanik tweeted.,“The President’s tweets were wrong. I have vehemently criticized lawmakers on the far-left when I disagree with the direction in which they want to take the country — but criticism should focus on policy,” Katko tweeted.,“America is the only country in the world which gives anyone the opportunity to fulfill their dreams, and I will never apologize for America. There is no doubt extremists in the far left of the Democrat party spout hate for Israel and want to turn America into socialist Venezuela. Though I disagree with the form of the President’s message, defending America is something I will always be proud to do,"" Reed said in a statement.,I am confident that every Member of Congress is a committed American. ,’s tweets from this weekend were racist and he should apologize. We must work as a country to rise above hate, not enable it,” Turner tweeted.,The Tweet President Trump posted over the weekend about fellow Members of Congress are not reflective of the values of the 1,000,000+ people in Texas 22. We are proud to be the most diverse Congressional district in America. I urge our President immediately disavow his comments,” Olson tweeted.,Hurd told CNN’s Christiane Amanpour that Trump’s tweets were “racist and xenophobic.”,“They’re also inaccurate. The four women he’s referring to are actually citizens of the United States,” Hurd added.,POTUS was wrong to say any American citizen, whether in Congress or not, has any ‘home’ besides the U.S. But I just as strongly believe non-citizens who abuse our immigration laws should be sent home immediately, & Reps who refuse to defend America should be sent home 11/2020,” Roy tweeted.,We must be better than comments like these,” Mitchell tweeted at Trump. “I share the political frustrations with some members of the other party, but these comments are beneath leaders.”,Frankly I’m appalled by the President’s tweets. There’s no excuse. Inflammatory rhetoric from both sides of the aisle that is used to divide us just isn’t right. It’s not helpful. We have too many challenges facing us that we ought to be working on together — immigration, the debt ceiling, the border crisis,” Upton tweeted. “The President’s tweets were flat out wrong and uncalled for, and I would encourage my colleagues from both parties to stop talking so much and start governing more.”,“As Americans, there is more that unites us than divides us,” Brooks said in a statement. “The President’s remarks to my colleagues across the aisle are inappropriate and do not reflect American values. ALL of our elected officials need to raise their level of civility in order to address the serious issues facing our country.”,“I am deeply disappointed in the president’s comments directed toward fellow Americans and members of Congress. Use of such language is inappropriate and demeans the office of the presidency,” Cole tweeted.,“The president’s comments were destructive, demeaning, and disunifying. The President of the United States has a unique and noble calling to unite the American people — of all different races, colors, and national origins. In that respect, the president failed badly,” Romney tweeted. “People can disagree over politics and policy, but telling American citizens to go back to where they came from is over the line.”,There is no excuse for the president’s spiteful comments — they were absolutely unacceptable and this needs to stop,” Murkowksi tweeted. “We have enough challenges addressing the humanitarian crises both at our borders and around the world. Instead of digging deeper into the mud with personal, vindictive insults –we must demand a higher standard of decorum and decency.”,“The President interjected with unacceptable personal attacks and racially offensive language,” tweeted Scott, the only African-American Republican in the Senate. “No matter our political disagreements, aiming for the lowest common denominator will only divide our nation further.”,“Just because the so-called squad constantly insults and attacks the president isn’t a reason to adopt their unacceptable tactics,” Blunt said in a statement. “There is plenty to say about how destructive House Democrats’ policies would be for our economy, our health care system, and our security. I think that’s where the focus should be.”,“President Trump was wrong to suggest that four left-wing congresswomen should go back to where they came from,"" Toomey said in a statement. ""Three of the four were born in America and the citizenship of all four is as valid as mine...We should defeat their ideas on the merits.”,“I disagree strongly with many of the views and comments of some of the far-left members of the House Democratic Caucus — especially when it comes to their views on socialism, their anti-Semitic rhetoric, and their negative comments about law enforcement — but the President’s tweet that some Members of Congress should go back to the ‘places from which they came’ was way over the line, and he should take that down,” Collins said in a statement."
"Racist president, cowardly party: The GOP must speak up against Trump’s terrible words","There are red states, blue states and, it is now clear, yellow states. The yellow states are represented in Congress by Republicans too cowardly to condemn a president who resorts to unabashed racism not only to stir his base, but also to express his genuine bigotry. Donald Trump does not drink. Stark sober, he is drunk on hate.,In the immediate aftermath of Trump’s tweet about four Democratic congresswomen — Alexandria Ocasio-Cortez of New York, Ilhan Omar of Minnesota, Rashida Tlaib of Michigan and Ayanna Pressley of Massachusetts — the GOP went mute. Here and there came objections, but no full-throated, unified denunciation of the president’s bigotry.,Trump told the women in question to “go back” to the countries they had come from. To do so, three of them need only to stay in place. Just one of them, Omar, was born elsewhere — Somalia. All four, though, are women of color. That, of course, was Trump’s point.,Republicans must acknowledge: The party has been taken over by a racist. The Trump of last weekend’s tweet binge was the culmination of a racist electoral strategy going back to Richard Nixon’s southern strategy and Ronald Reagan’s aw-shucks indifference to civil rights. Early in the 1980 campaign, Reagan went to Mississippi’s Neshoba County fair to, among other things, extol “states’ rights.” He tastelessly uttered those loaded words near where three civil rights workers were murdered in 1964. The Reagan smile could not mask the appeal to bigotry.,As for Trump, it should come as no surprise that he is a racist. Those who think he is merely appealing to his base and that, in private, he retires to read the speeches of Frederick Douglass ought to chat up people who have long known him. Former associates say his language is often clotted with racist references.,Even before he officially ran for president, he was promoting his racist “birther” theory, insisting that Barack Obama was not born in Hawaii but in some foreign country — probably Kenya, his father’s homeland. Despite it being an obvious lie, Trump stuck to his guns. It was as if he could not fathom how a black person could be an American president. He even said he had dispatched private investigators to Hawaii to get the truth.,I can empathize with some Republicans. Take Lindsey Graham. With considerable understatement he once called Trump a “race-baiting, xenophobic religious bigot.” But that was then. That was before Trump proved hugely popular in Graham’s South Carolina, particularly among Republicans. Graham, who’s up for reelection in 2020, must figure that if he denounced Trump, he will lose the Republican senatorial primary. And if that happens, he will not be replaced by a relative moderate but by a rabid Trumper. ,, as the lawyers like to say. Who benefits? No one. Better to swallow indignation and play the occasional round of golf with the president. Graham’s handicap must be a troubled conscience. ,But the consequences of silence are dear. America’s oldest scar — race — is being ripped open. We are a magical, marvelous nation, but we are not immune to the forces of racial chauvinism that have divided other nations. This is not what we want for America. We expel none of our citizens. We send none of them back.,The silence on the right has helped produce a reaction on the left. In the 1930s, the rise of fascism triggered a concurrent rise in communism — a fighting fire with fire sort of thing. Now we have liberals advocating and endorsing a pernicious brand of identity politics where everyone has a label, and certain labels grant unquestioned and unquestionable virtue. This stifles needed debate and produces its own reaction. It is fodder for Trump.,It was said of Mussolini that he made the trains run on time. Now Republicans and others parrot a version of that amoral argument. They deplore Trump’s rhetoric, but say he has kept unemployment low, employment high and sent the stock market into the ozone layer. But there is a cost to all this. Trump may fatten some wallets, but he feasts on the country’s soul. With an insolence borne of ignorance, he gives history the finger and traffics in the blood of Civil War dead, civil rights martyrs and the “Strange Fruit” of countless lynchings. The GOP’s silence in the face of all this is not just shameful, it is wrenching.,For crying out loud, say something!"
"Ben Simmons inks 5-year, $170 million max contract extension with the Sixers","PHILADELPHIA — The Philadelphia 76ers and star guard Ben Simmons have agreed to a $170 million, five-year contract extension, a person familiar with the situation told The Associated Press. The max deal is the latest big commitment by a team expected to make a serious push at its first NBA championship since 1983.,Simmons, 22, will make about $8.1 million this season, the last of his four-year rookie deal. His salary for the next season will jump to about $29.3 million and rise to nearly $39 million in 2024-25, according to the person who spoke to the AP on condition of anonymity Monday because the contract is not official.,The deal solidifies the 76ers' core for the next few seasons. All-Star Joel Embiid and Al Horford are under contract though 2023, Tobias Harris through 2024 and now Simmons through 2025. Horford got a $109 million, four-year deal and Embiid agreed last season to a $147 million, five-year deal.,Sixers general manager Elton Brand had until the middle of October to reach a max deal with Simmons but wasted little time in locking up another cornerstone player.,Simmons was the No. 1 overall draft pick in the 2016. He made his NBA debut in the 2017-18 season and was Rookie of the Year. He was an All-Star for the first time last season. He has averaged 16.4 points, 8.5 rebounds and 7.9 assists in his two seasons.,""I think I want to work on everything and continue to let my game grow,"" Simmons said at the end of the season. ""I think the one thing I got a lot better at this season was leadership."",The Sixers were knocked out of the Eastern Conference semifinals for the second straight season.,Philadelphia is 101-58 in regular-season games when Simmons plays. He has had 22 triple-doubles in the last two seasons, tied for third most in the league with Denver's Nikola Jokic and trailing Oklahoma City's Russell Westbrook (59) and the Los Angeles Lakers' LeBron James (26).,Simmons also has had 80 double-doubles over the last two seasons.,But he missed all 11 3-point attempts his rookie season and was 0 for 6 last season, a combination of an awkward shooting form and a hesitancy to keep shooting shots he can't make. Defenses sagged on Simmons daring him to shoot because the speedy All-Star can't do much outside the paint.,""I don't think it's taking shots just to take them,"" Simmons said. ""I think it's just being aggressive and doing my job. I don't think it's any certain shot. But when you give me the ball, I'm able to make plays."",Harris, who re-signed with the Sixers this summer on a $180 million, five-year contract, recently worked out with Simmons in Los Angeles and found him dedicated to improving his shot.,“Everybody was trying to figure out why I was guarding him at the 3-point line, but it was really because he hit two of them,” Harris said. “When I dared him to shoot two of them, he hit two in a row. That’s why I was there. He’s made big improvements on his game. His jump shot is looking really good and he has the confidence to shoot.”"
Cabbie in Bronx crushed by own taxi as he tried to catch thief,"A hard-working, veteran cabbie was run down and killed by his own taxi in the Bronx as he chased a passenger who stole his backpack, police said Monday.,Tragedy struck about 11:40 p.m. Sunday when Mohammad Zafrullah, a 65-year-old Bangaldeshi immigrant who drove a yellow cab for more than 20 years, dropped off a fare on Seward Ave. near Rosedale Ave. in Soundview.,The fare reached into the cab’s open front passenger window and snatched Zafrullah’s backpack, said cops and Zafrullah's devastated family.,Zafrullah jumped out of the car to give chase to the thief.,But he’d left the taxi in reverse, said cops.,""It rolled back over him. That’s what actually killed him,” Zafrullah’s devastated niece, Mansura Ghaffar, 36, told the Daily News Monday.,The cab crushed Zafrullah’s head, said police.,A 911 caller told police a man had been stabbed — but cops found video that showed what really happened, cops said.,“When he got to Jacobi Hospital, the surgeons tried to revive him. It was emergency surgery, but he died on the table,"" Ghaffar said.,Zafrullah, a Brooklyn resident, drove a cab since at least 1997, said the Taxi and Limousine Commission.,His family said he came to New York from Bangladesh more than 30 years ago.,He worked 12 hours a day, and didn’t own his medallion, said Ghaffar.,“He was a loving guy, a father of two grown kids,"" she said. “His sons are flying in from California. He was a really hard-working guy and a loving man.”,Her husband, Abrar Hossain, added, “We’re extremely grieved at the loss. He is a New Yorker for over thirty years. He was a loving father and brother."",The thief, clad in a white shirt, was still being sought on Monday."
Creep accosts woman at Bronx subway stop,"A creep lifted a woman’s skirt and yanked down her panties at a Bronx subway stop, and cops want help finding him.,The 26-year-old woman was accosted at the Third Ave.-E. 149th St. station on the 2 and 5 line in the South Bronx just after 5 p.m. on July 9. When she confronted him, he laughed at her and walked off to the nearby BX-41 bus stop.,Cops said the suspect is about 20 years old and 5-foot-5, last seen wearing a dark colored bandana, black shirt, black sweatpants, green socks, and black slip-on sandals. He was wearing a black backpack.,Anyone with information can call the NYPD’s Crime Stoppers Hotline at (800) 577-TIPS. Calls are confidential."
NYPD’s Internal Affairs Bureau investigating ex-cop’s rape claims: attorney,"The NYPD’s Internal Affairs Bureau has launched an investigation into allegations made by a former Harlem cop that she was raped and sexually abused by her partner and another police officer, her attorney said Monday.,IAB contacted attorney Eric Sanders, requesting an interview with Maria Mendez, at about 9 a.m. Monday, just two hours after the Daily News exclusive report on her allegations was posted online. Sanders said he and Mendez plan to speak with IAB as soon as possible.,In a notice of claim filed with the city last month, Mendez said male officers at Harlem’s 32nd Precinct strung her out on pain killers, then threatened to tell her bosses about her opioid abuse if she didn’t have sex with them.,If she protested, the officers beat and raped her, the married mother of four ,. She said her only way out was to quit the NYPD, which she did in January. “My whole family got ruined,” said the 14-year veteran. “I couldn’t take it anymore."",In the notice of claim, Mendez said her patrol partner and another cop in the precinct repeatedly raped her and forced her to perform sexual favors. She also named a former FDNY medic turned firefighter, who she alleged sold her pain killers that he had taken from overdose victims. The News is withholding their names because they haven’t been criminally or departmentally charged.,Between 2014 and 2019, the officers “plied her with alcohol, stolen opioids and MDMA, aka Molly, which they sold to her, then under physical and psychological threat, forced her to perform deviant sexual acts including anal, oral and vaginal sex inside department facilities, vehicles and other locations,” Sanders wrote in the notice of claim, a precursor to a $90 million lawsuit he expects to file.,Mendez said she’s been sexually harassed by other cops since she was in the police academy. “It shocks you, but they make it seem that its not that bad, that you just have to have tough skin,” she said.,“You laugh it off and say a little joke and walk away. If it gets too much you tell them off, but it doesn’t stop,” she said. “You are getting sexually attacked every single day as a woman in this department.”,The NYPD said Mendez never filed an official complaint against the officers named in her notice of claim.,In response to a request for comment about the IAB investigation, NYPD spokeswoman Sgt. Mary Frances O’Donnell said Monday, “The NYPD takes all allegations seriously and will review the claim, and initiate any appropriate action. The NYPD urges anyone who has been a victim of sexual assault to file a police report so we can perform a comprehensive investigation, and offer support and services to survivors.”,Sanders said that in similar cases in the past, the department has simply removed problems by transferring those involved to different commands, “Now let’s see how the department intends to handle this serious problem,"" he said. “Hopefully they just don’t transfer the problems away.”"
